"rsp_id","rsp_age","rsp_age_cat","rsp_gender","rsp_edu","rsp_party","rsp_eu","treat_id","treat_turnout_raw","treat_majority_raw","treat_outcome_raw","treat_text","treat_outcome","treat_turnout","treat_majority","treat_outcome_match","treat_outcome_shown","treat_turnout_shown","treat_majority_shown","post"
1009106,2,"30-59 yrs","Male","Lower or intermediate","Liberal Party (C)","For EU Membership",20,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1003263,6,"60 yrs and above","Male",NA,"Labour Party (CL)","Against EU Membership",35,"blank","55%","den vinnende siden","La oss si at den vinnende siden fikk 55% av stemmene.","Not shown","Not shown","55%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1000274,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",42,"blank","70%","den vinnende siden","La oss si at den vinnende siden fikk 70% av stemmene.","Not shown","Not shown","70%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1004922,1,"18-29 yrs","Male","Lower or intermediate","Labour Party (CL)","For EU Membership",45,"35%","70%","den vinnende siden","La oss si at 35% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","35%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",0
1007386,4,"30-59 yrs","Male","Higher","Conservative Party (CR)","Against EU Membership",134,"47%","55%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","47%","55%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1010501,5,"30-59 yrs","Male","Lower or intermediate","Agrarian Party (C)","Against EU Membership",45,"35%","70%","den vinnende siden","La oss si at 35% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","35%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1003333,4,"30-59 yrs","Female","Higher","Conservative Party (CR)","Don't know",90,"blank","70%","ja-siden","La oss si at ja-siden fikk 70% av stemmene.","For EU Membership won","Not shown","70%",NA,"Not shown","Not shown","Shown
size of majority",1
1005851,2,"30-59 yrs","Female","Higher","Socialist Left (L)","Against EU Membership",85,"35%","55%","ja-siden","La oss si at 35% av befolkningen deltok og at ja-siden fikk 55% av stemmene.","For EU Membership won","35%","55%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",0
1007543,3,"30-59 yrs","Male","Higher","Labour Party (CL)","For EU Membership",10,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1002120,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",72,"85%","blank","ja-siden","La oss si at 85% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","85%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",1
1008215,2,"18-29 yrs","Male","Higher","Socialist Left (L)","Against EU Membership",137,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1008697,5,"30-59 yrs","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",70,"47%","blank","ja-siden","La oss si at 47% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","47%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",0
1002934,4,"30-59 yrs","Male","Lower or intermediate","Agrarian Party (C)","Against EU Membership",65,"blank","blank","ja-siden","La oss si at ja-siden fikk flertall.","For EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",0
1002849,2,"18-29 yrs","Female","Higher","Conservative Party (CR)","Don't know",92,"blank","70%","ja-siden","La oss si at ja-siden fikk 70% av stemmene.","For EU Membership won","Not shown","70%",NA,"Not shown","Not shown","Shown
size of majority",1
1003877,3,"30-59 yrs","Female","Lower or intermediate","Progress Party (FR)","For EU Membership",136,"85%","55%","nei-siden","La oss si at 85% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","85%","55%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1001100,5,"60 yrs and above","Male","Lower or intermediate","Progress Party (FR)","Against EU Membership",109,"35%","blank","nei-siden","La oss si at 35% av befolkningen deltok og at nei-siden fikk flertall.","Against EU Membership won","35%","Not shown","Favourable outcome","Not shown","Shown
size of turnout","Not shown",1
1005145,3,"30-59 yrs","Female","Higher","Conservative Party (CR)","For EU Membership",41,"blank","70%","den vinnende siden","La oss si at den vinnende siden fikk 70% av stemmene.","Not shown","Not shown","70%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1000353,6,"60 yrs and above","Female","Higher","Socialist Left (L)","Don't know",93,"35%","70%","ja-siden","La oss si at 35% av befolkningen deltok og at ja-siden fikk 70% av stemmene.","For EU Membership won","35%","70%",NA,"Not shown","Shown
size of turnout","Shown
size of majority",0
1001313,6,"60 yrs and above","Female","Lower or intermediate",NA,"Against EU Membership",14,"47%","blank","den vinnende siden","La oss si at 47% av befolkningen deltok.","Not shown","47%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1010481,6,"60 yrs and above","Female","Lower or intermediate","Labour Party (CL)","Don't know",115,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown",NA,"Not shown","Not shown","Not shown",1
1007037,1,"18-29 yrs","Male","Lower or intermediate","Liberal Party (C)","Against EU Membership",65,"blank","blank","ja-siden","La oss si at ja-siden fikk flertall.","For EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",0
1010537,4,"30-59 yrs","Female","Higher","Conservative Party (CR)","Don't know",62,"47%","blank","ja-siden","La oss si at 47% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","47%","Not shown",NA,"Not shown","Shown
size of turnout","Not shown",0
1006036,6,"60 yrs and above","Male","Higher","Red Party (FL)","For EU Membership",43,"blank","70%","den vinnende siden","La oss si at den vinnende siden fikk 70% av stemmene.","Not shown","Not shown","70%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1006482,3,"30-59 yrs","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",115,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown","Favourable outcome","Not shown","Not shown","Not shown",1
1002941,4,"30-59 yrs","Male","Higher","Conservative Party (CR)","Against EU Membership",77,"35%","51%","ja-siden","La oss si at 35% av befolkningen deltok og at ja-siden fikk 51% av stemmene.","For EU Membership won","35%","51%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",0
1006037,5,"60 yrs and above","Female","Higher","Labour Party (CL)","Against EU Membership",27,"blank","51%","den vinnende siden","La oss si at den vinnende siden fikk 51% av stemmene.","Not shown","Not shown","51%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1003895,4,"30-59 yrs","Female","Lower or intermediate","Progress Party (FR)","Don't know",110,"47%","blank","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk flertall.","Against EU Membership won","47%","Not shown",NA,"Not shown","Shown
size of turnout","Not shown",1
1002340,5,"60 yrs and above","Female","Higher","Labour Party (CL)","Don't know",142,"47%","70%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 70% av stemmene.","Against EU Membership won","47%","70%",NA,"Not shown","Shown
size of turnout","Shown
size of majority",1
1005305,5,"30-59 yrs","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",115,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown","Favourable outcome","Not shown","Not shown","Not shown",1
1006050,2,"18-29 yrs","Female","Higher","Liberal Party (C)","Against EU Membership",31,"53%","51%","den vinnende siden","La oss si at 53% av befolkningen deltok og at den vinnende siden fikk 51% av stemmene.","Not shown","53%","51%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1006044,6,"60 yrs and above","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",130,"blank","55%","nei-siden","La oss si at nei-siden fikk 55% av stemmene.","Against EU Membership won","Not shown","55%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1002630,3,"30-59 yrs","Female","Higher","Conservative Party (CR)","Against EU Membership",39,"53%","55%","den vinnende siden","La oss si at 53% av befolkningen deltok og at den vinnende siden fikk 55% av stemmene.","Not shown","53%","55%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1000841,5,"30-59 yrs","Female","Higher","Labour Party (CL)","Against EU Membership",1,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1008484,2,"18-29 yrs","Female","Higher","Conservative Party (CR)","For EU Membership",16,"85%","blank","den vinnende siden","La oss si at 85% av befolkningen deltok.","Not shown","85%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1000498,6,"60 yrs and above","Female","Lower or intermediate","Labour Party (CL)","For EU Membership",11,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1006368,6,"60 yrs and above","Male",NA,"Conservative Party (CR)","For EU Membership",60,"blank","blank","ja-siden","La oss si at ja-siden fikk flertall.","For EU Membership won","Not shown","Not shown","Favourable outcome","Not shown","Not shown","Not shown",1
1001461,3,"30-59 yrs","Female","Higher","Labour Party (CL)","For EU Membership",46,"47%","70%","den vinnende siden","La oss si at 47% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","47%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",0
1008852,7,"60 yrs and above","Male","Higher","Labour Party (CL)","Against EU Membership",63,"53%","blank","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","53%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",1
1009782,1,"18-29 yrs","Female","Higher","Labour Party (CL)","Against EU Membership",87,"53%","55%","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk 55% av stemmene.","For EU Membership won","53%","55%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1005255,5,"60 yrs and above","Male","Lower or intermediate","Progress Party (FR)","Against EU Membership",136,"85%","55%","nei-siden","La oss si at 85% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","85%","55%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1008583,5,"60 yrs and above","Male","Lower or intermediate",NA,"Don't know",139,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%",NA,"Not shown","Not shown","Shown
size of majority",1
1008704,4,"30-59 yrs","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",137,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1005621,3,"30-59 yrs","Female","Higher","Labour Party (CL)","For EU Membership",139,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%","Unfavourable outcome","Not shown","Not shown","Shown
size of majority",1
1008733,6,"60 yrs and above","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",8,"85%","blank","den vinnende siden","La oss si at 85% av befolkningen deltok.","Not shown","85%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1006699,5,"60 yrs and above","Female","Lower or intermediate","Conservative Party (CR)","Against EU Membership",95,"53%","70%","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk 70% av stemmene.","For EU Membership won","53%","70%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1008782,2,"18-29 yrs","Male","Higher","Socialist Left (L)","Against EU Membership",23,"53%","blank","den vinnende siden","La oss si at 53% av befolkningen deltok.","Not shown","53%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1004219,6,"60 yrs and above","Male","Higher","Labour Party (CL)","For EU Membership",84,"blank","55%","ja-siden","La oss si at ja-siden fikk 55% av stemmene.","For EU Membership won","Not shown","55%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1007644,4,"30-59 yrs","Female","Higher","Labour Party (CL)","Don't know",107,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown",NA,"Not shown","Not shown","Not shown",0
1006361,5,"60 yrs and above","Male","Higher","Liberal Party (C)","Against EU Membership",42,"blank","70%","den vinnende siden","La oss si at den vinnende siden fikk 70% av stemmene.","Not shown","Not shown","70%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1010325,2,"30-59 yrs","Male","Lower or intermediate","Christian Democracts (C)","Against EU Membership",81,"blank","55%","ja-siden","La oss si at ja-siden fikk 55% av stemmene.","For EU Membership won","Not shown","55%","Unfavourable outcome","Not shown","Not shown","Shown
size of majority",0
1002343,5,"60 yrs and above","Female","Lower or intermediate",NA,"For EU Membership",134,"47%","55%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","47%","55%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",0
1001225,5,"60 yrs and above","Female","Higher","Red Party (FL)","Against EU Membership",12,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1002215,2,"30-59 yrs","Male","Higher","Green Party (C)","Against EU Membership",29,"35%","51%","den vinnende siden","La oss si at 35% av befolkningen deltok og at den vinnende siden fikk 51% av stemmene.","Not shown","35%","51%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1000636,3,"30-59 yrs","Male","Lower or intermediate","Progress Party (FR)","Against EU Membership",121,"blank","51%","nei-siden","La oss si at nei-siden fikk 51% av stemmene.","Against EU Membership won","Not shown","51%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1004888,4,"30-59 yrs","Female","Lower or intermediate","Labour Party (CL)","Against EU Membership",47,"53%","70%","den vinnende siden","La oss si at 53% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","53%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1008343,6,"60 yrs and above","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",37,"35%","55%","den vinnende siden","La oss si at 35% av befolkningen deltok og at den vinnende siden fikk 55% av stemmene.","Not shown","35%","55%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1001078,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)","Don't know",55,"53%","blank","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","53%","Not shown",NA,"Not shown","Shown
size of turnout","Not shown",0
1000815,1,"18-29 yrs","Female","Lower or intermediate","Christian Democracts (C)",NA,1,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",0
1003082,4,"30-59 yrs","Female","Higher","Labour Party (CL)","Against EU Membership",14,"47%","blank","den vinnende siden","La oss si at 47% av befolkningen deltok.","Not shown","47%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1008468,3,"30-59 yrs","Male","Higher",NA,"Against EU Membership",73,"blank","51%","ja-siden","La oss si at ja-siden fikk 51% av stemmene.","For EU Membership won","Not shown","51%","Unfavourable outcome","Not shown","Not shown","Shown
size of majority",0
1008746,4,"30-59 yrs","Female","Higher","Agrarian Party (C)","Against EU Membership",23,"53%","blank","den vinnende siden","La oss si at 53% av befolkningen deltok.","Not shown","53%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",0
1008883,1,"18-29 yrs","Female","Lower or intermediate","Socialist Left (L)","Don't know",73,"blank","51%","ja-siden","La oss si at ja-siden fikk 51% av stemmene.","For EU Membership won","Not shown","51%",NA,"Not shown","Not shown","Shown
size of majority",1
1008680,4,"30-59 yrs","Female","Higher","Labour Party (CL)","For EU Membership",15,"53%","blank","den vinnende siden","La oss si at 53% av befolkningen deltok.","Not shown","53%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1001915,6,"60 yrs and above","Female","Higher","Conservative Party (CR)","For EU Membership",70,"47%","blank","ja-siden","La oss si at 47% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","47%","Not shown","Favourable outcome","Not shown","Shown
size of turnout","Not shown",1
1003009,7,"60 yrs and above","Female","Higher","Green Party (C)","Against EU Membership",80,"85%","51%","ja-siden","La oss si at 85% av befolkningen deltok og at ja-siden fikk 51% av stemmene.","For EU Membership won","85%","51%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1009466,3,"30-59 yrs","Female","Higher",NA,"Don't know",119,"53%","blank","nei-siden","La oss si at 53% av befolkningen deltok og at nei-siden fikk flertall.","Against EU Membership won","53%","Not shown",NA,"Not shown","Shown
size of turnout","Not shown",1
1001918,5,"60 yrs and above","Male","Higher","Red Party (FL)","Against EU Membership",57,"blank","blank","ja-siden","La oss si at ja-siden fikk flertall.","For EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",0
1004401,5,"60 yrs and above","Male",NA,"Progress Party (FR)","Against EU Membership",10,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1002277,5,"30-59 yrs","Female","Higher","Green Party (C)","Against EU Membership",87,"53%","55%","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk 55% av stemmene.","For EU Membership won","53%","55%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1008387,3,"30-59 yrs","Male","Lower or intermediate","Conservative Party (CR)","Don't know",36,"blank","55%","den vinnende siden","La oss si at den vinnende siden fikk 55% av stemmene.","Not shown","Not shown","55%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1008636,2,"30-59 yrs","Male","Higher","Labour Party (CL)","Don't know",138,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%",NA,"Not shown","Not shown","Shown
size of majority",1
1010174,3,"30-59 yrs","Male","Lower or intermediate",NA,"Against EU Membership",21,"35%","blank","den vinnende siden","La oss si at 35% av befolkningen deltok.","Not shown","35%","Not shown","Not shown","Shown
outcome","Shown
size of turnout","Not shown",1
1002391,6,"60 yrs and above","Male",NA,"Progress Party (FR)","Against EU Membership",27,"blank","51%","den vinnende siden","La oss si at den vinnende siden fikk 51% av stemmene.","Not shown","Not shown","51%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1008298,6,"60 yrs and above","Female","Higher","Progress Party (FR)","Don't know",56,"85%","blank","ja-siden","La oss si at 85% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","85%","Not shown",NA,"Not shown","Shown
size of turnout","Not shown",0
1001884,1,"18-29 yrs","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",89,"blank","70%","ja-siden","La oss si at ja-siden fikk 70% av stemmene.","For EU Membership won","Not shown","70%","Unfavourable outcome","Not shown","Not shown","Shown
size of majority",1
1007677,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",38,"47%","55%","den vinnende siden","La oss si at 47% av befolkningen deltok og at den vinnende siden fikk 55% av stemmene.","Not shown","47%","55%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1001585,5,"60 yrs and above","Female","Higher","Liberal Party (C)","Against EU Membership",118,"47%","blank","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk flertall.","Against EU Membership won","47%","Not shown","Favourable outcome","Not shown","Shown
size of turnout","Not shown",1
1009593,2,"18-29 yrs","Male","Higher","Conservative Party (CR)","For EU Membership",42,"blank","70%","den vinnende siden","La oss si at den vinnende siden fikk 70% av stemmene.","Not shown","Not shown","70%","Not shown","Shown
outcome","Not shown","Shown
size of majority",0
1001587,5,"60 yrs and above","Female","Higher","Labour Party (CL)","For EU Membership",3,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1000458,6,"60 yrs and above","Male","Higher","Conservative Party (CR)","For EU Membership",100,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",1
1008128,6,"60 yrs and above","Male","Higher","Socialist Left (L)","Against EU Membership",126,"47%","51%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 51% av stemmene.","Against EU Membership won","47%","51%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1002619,6,"60 yrs and above","Female",NA,"Agrarian Party (C)","Against EU Membership",137,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1000169,5,"60 yrs and above","Female","Higher","Socialist Left (L)","Don't know",140,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%",NA,"Not shown","Not shown","Shown
size of majority",1
1007275,7,"60 yrs and above","Male","Higher","Liberal Party (C)","For EU Membership",115,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",1
